session_id,acquisition_cost,time_to_value_seconds,retention_d30,funnel_stage,effort_score,friction_type,churn_reason
SESS_0001,16.680389513465023,272.24869956338034,0,Landing,2,Pricing,Too expensive
SESS_0002,41.964780056186044,336.52063953131943,0,Landing,3,None,Found alternative
SESS_0003,44.89048886572208,465.59539100834775,0,Landing,4,Pricing,Hard to use
SESS_0004,47.136473377901865,103.70733885443069,0,Landing,10,Technical,Too expensive
SESS_0005,27.29149157428968,431.5042916900096,0,Landing,9,Cognitive,Hard to use
SESS_0006,32.452519819550815,467.1196529848216,0,Activation,1,Cognitive,N/A
SESS_0007,39.868644186258194,38.87632435279757,1,Onboarding,9,Cognitive,Hard to use
SESS_0008,41.130462149668176,399.1198867183718,0,Landing,9,Cognitive,Too expensive
SESS_0009,43.40955135946118,340.48569456466896,0,Landing,10,Pricing,N/A
SESS_0010,40.5304020808655,312.6337262867582,0,Signup,7,Cognitive,N/A
SESS_0011,30.9270895881895,79.25689095046535,0,Landing,8,Technical,Too expensive
SESS_0012,27.875696194541455,144.32602922146583,0,Landing,4,Pricing,Too expensive
SESS_0013,10.899901743814656,310.6100537552804,0,Landing,10,Cognitive,Hard to use
SESS_0014,30.399729774686055,487.52530883629396,0,Onboarding,1,Pricing,Too expensive
SESS_0015,44.5265692884243,61.14473778588455,0,Signup,4,Technical,Found alternative
SESS_0016,34.45348897231963,78.16405506270831,0,Signup,10,Technical,Bugs
SESS_0017,10.973128102747083,428.5765901823341,0,Activation,1,Technical,Hard to use
SESS_0018,44.43304364085385,456.4052284215181,0,Landing,9,Cognitive,Hard to use
SESS_0019,46.541551274231786,536.7599721780002,0,Landing,6,Cognitive,Bugs
SESS_0020,23.671394831359336,182.34564964982476,0,Landing,10,Pricing,Bugs
SESS_0021,18.45558820586102,538.5903600818497,1,Onboarding,1,Technical,Too expensive
SESS_0022,44.55163957655257,105.71546681702088,1,Signup,2,Pricing,Too expensive
SESS_0023,37.94282897781468,172.90157461567273,0,Activation,6,Cognitive,Hard to use
SESS_0024,22.40285627915386,72.85208705363226,1,Signup,9,Pricing,N/A
SESS_0025,27.774589420216792,164.053758254724,0,Onboarding,5,None,Too expensive
SESS_0026,14.391659957145624,97.79927478722975,0,Landing,5,Cognitive,Too expensive
SESS_0027,29.83921135855567,397.5700630750982,1,Landing,8,Pricing,Hard to use
SESS_0028,49.2048575726859,211.6650946892512,0,Landing,10,Cognitive,N/A
SESS_0029,5.0389721248865635,111.17462240402153,0,Landing,8,Pricing,Found alternative
SESS_0030,13.890190094551581,333.62610419789075,0,Onboarding,7,Cognitive,Too expensive
SESS_0031,25.508600816864483,484.1126570472096,0,Onboarding,3,Technical,Found alternative
SESS_0032,17.466845103296983,38.368879129422126,1,Onboarding,8,Technical,Bugs
SESS_0033,14.528648024447918,324.1237172039693,0,Landing,8,Cognitive,Hard to use
SESS_0034,48.0883080939883,50.505163462982324,1,Signup,8,Pricing,Hard to use
SESS_0035,40.060221358194426,270.48014204040203,1,Paid,4,None,Bugs
SESS_0036,41.61787854143814,568.0979554303465,0,Activation,1,Cognitive,Found alternative
SESS_0037,31.138055409391082,234.9111372500395,1,Onboarding,1,Cognitive,Too expensive
SESS_0038,24.359535430623655,197.5425765770624,0,Landing,9,Pricing,N/A
SESS_0039,30.199358961427475,546.1186880430824,0,Signup,5,Pricing,N/A
SESS_0040,37.18098637536073,253.24496899363555,0,Landing,7,Cognitive,Too expensive
SESS_0041,11.025586906586483,487.361646481812,0,Onboarding,9,Cognitive,Too expensive
SESS_0042,5.5639639524963505,35.660611589841174,0,Landing,4,Technical,Bugs
SESS_0043,37.93178304480067,83.96963658416766,0,Landing,9,Pricing,Hard to use
SESS_0044,37.37543499284181,118.31452264378541,0,Onboarding,5,None,Hard to use
SESS_0045,43.573358121369374,235.73271729816332,1,Landing,3,Pricing,Bugs
SESS_0046,48.81857805075707,453.68853475524315,0,Onboarding,9,Cognitive,Bugs
SESS_0047,12.222325532865735,376.0424944892634,0,Landing,2,Pricing,Found alternative
SESS_0048,15.947124329500303,89.68269654476379,1,Onboarding,6,Cognitive,Bugs
SESS_0049,44.17886918508881,438.11381088352056,0,Signup,9,Pricing,Hard to use
SESS_0050,13.005782477188538,484.7291856052914,1,Activation,8,Cognitive,Hard to use
SESS_0051,26.699978245817817,305.361638565509,0,Landing,1,Pricing,Bugs
SESS_0052,12.292655205043864,261.38627691385545,0,Landing,2,Technical,Too expensive
SESS_0053,9.991395106498292,154.67194930802225,0,Landing,6,Pricing,Too expensive
SESS_0054,22.827141913134156,335.32905893101895,0,Landing,8,Pricing,Too expensive
SESS_0055,11.459072522752102,243.75198710393585,0,Landing,7,Cognitive,Hard to use
SESS_0056,5.41925694163558,101.34542139207801,0,Signup,7,Cognitive,Bugs
SESS_0057,10.503613680940504,424.322700498893,0,Landing,7,Technical,Too expensive
SESS_0058,21.695125211165262,585.8089954143834,0,Paid,10,Cognitive,Found alternative
SESS_0059,32.74037569359747,271.9435022181194,0,Signup,5,None,Bugs
SESS_0060,5.322157468599985,251.97854210518827,1,Signup,9,Technical,Bugs
SESS_0061,21.15253360673129,474.7840167907513,0,Landing,1,Cognitive,Found alternative
SESS_0062,21.95813473573838,239.3478690554263,0,Signup,4,Pricing,Found alternative
SESS_0063,23.379372005473137,360.10860913898836,0,Signup,10,Technical,Hard to use
SESS_0064,40.87407373790848,238.67000935331322,0,Signup,8,Cognitive,Hard to use
SESS_0065,22.068109268837233,564.0531913927625,0,Signup,1,Technical,Too expensive
SESS_0066,30.57548231057489,452.95522631297956,0,Onboarding,4,Pricing,Found alternative
SESS_0067,31.556352030107583,205.52690119438023,0,Signup,1,Pricing,Hard to use
SESS_0068,44.260772459303396,593.6971976588509,0,Onboarding,4,Technical,Found alternative
SESS_0069,46.918547164663224,71.21945375840033,0,Onboarding,7,Pricing,N/A
SESS_0070,17.893651576226773,313.7729388664851,0,Landing,1,Cognitive,Hard to use
SESS_0071,46.507329322327266,248.31735646688924,0,Onboarding,2,Cognitive,N/A
SESS_0072,20.50381970211339,93.89003909281001,1,Signup,9,Cognitive,N/A
SESS_0073,42.913133763609025,550.8143337129525,0,Onboarding,9,Cognitive,Bugs
SESS_0074,19.850292398413117,597.6593962347949,0,Onboarding,5,Cognitive,Too expensive
SESS_0075,44.80538973110609,232.46513096879926,0,Landing,5,Pricing,Too expensive
SESS_0076,28.90389237999727,339.28163749629607,0,Landing,4,Technical,Too expensive
SESS_0077,10.110154749475583,339.57778660922236,0,Landing,10,Cognitive,N/A
SESS_0078,10.488729995455781,159.78363997047606,0,Onboarding,8,Cognitive,Hard to use
SESS_0079,48.627674406956885,394.4196376080085,1,Signup,10,None,Bugs
SESS_0080,16.51233937771838,492.0371519863565,0,Landing,10,Cognitive,Bugs
SESS_0081,45.842684837793236,558.760531559333,0,Onboarding,8,Cognitive,Hard to use
SESS_0082,10.535963696171354,448.98428924946586,0,Signup,6,Cognitive,Hard to use
SESS_0083,29.188235093264414,203.2913487296745,1,Signup,6,Cognitive,Found alternative
SESS_0084,9.386434171740332,553.0914144891801,0,Onboarding,10,Technical,Found alternative
SESS_0085,29.742041893649375,48.394101331977,0,Landing,9,Pricing,Too expensive
SESS_0086,21.478668971466913,161.17767692218493,1,Onboarding,8,Cognitive,Found alternative
SESS_0087,47.01598529435668,453.6007973957531,1,Landing,7,Pricing,Found alternative
SESS_0088,17.69501361792888,328.2365453773363,0,Signup,4,Cognitive,Too expensive
SESS_0089,17.563923027035123,370.0931327714929,0,Landing,3,Cognitive,N/A
SESS_0090,27.58443532028132,335.17726024477963,0,Signup,6,Cognitive,Hard to use
SESS_0091,18.228072904836097,61.76733027109675,0,Activation,8,Technical,Too expensive
SESS_0092,28.22705633556955,249.7417447701592,1,Signup,3,Pricing,Too expensive
SESS_0093,44.8919020651866,180.20492107280114,1,Landing,9,Cognitive,Found alternative
SESS_0094,24.509231758937606,357.98947715311937,0,Onboarding,7,Pricing,Found alternative
SESS_0095,35.11064046442266,329.6681965460449,0,Landing,10,Cognitive,Too expensive
SESS_0096,38.31571342571903,599.1364837155377,1,Onboarding,7,Cognitive,Too expensive
SESS_0097,42.040903514038355,125.31236357133568,0,Signup,5,Cognitive,Too expensive
SESS_0098,13.702855036216125,576.8326068066041,0,Signup,10,Pricing,Hard to use
SESS_0099,27.224945914498335,584.4304894290952,0,Landing,8,Cognitive,Bugs
SESS_0100,40.60698486000316,206.90267338317966,1,Paid,4,Pricing,Too expensive
SESS_0101,8.528361914449555,323.8467194500648,0,Signup,4,Technical,Hard to use
SESS_0102,16.379549062511497,396.74895262491907,0,Landing,6,Cognitive,Bugs
SESS_0103,34.04177600572402,418.39091978904764,0,Activation,7,Pricing,Hard to use
SESS_0104,16.1879561184496,332.52944128503657,0,Landing,7,Technical,Too expensive
SESS_0105,6.867374278748485,185.13625530167675,0,Onboarding,3,Pricing,N/A
SESS_0106,39.177795379025255,334.26947494238084,0,Signup,9,Cognitive,Hard to use
SESS_0107,19.30827836895481,171.38064399924016,1,Activation,9,Cognitive,N/A
SESS_0108,33.92901432885524,277.20009750330576,0,Signup,6,Pricing,Hard to use
SESS_0109,28.686437801557737,384.618712077201,0,Landing,6,Pricing,Found alternative
SESS_0110,38.37408206787774,220.96959404971267,0,Landing,9,Cognitive,Too expensive
SESS_0111,38.58591163120385,462.2299650571637,1,Signup,3,Cognitive,Too expensive
SESS_0112,36.00321080573774,51.22697912073496,0,Landing,7,Pricing,Too expensive
SESS_0113,10.638479680515488,260.3849058773144,1,Landing,1,Cognitive,Hard to use
SESS_0114,35.75773620025825,296.49647352221746,0,Signup,2,Pricing,Found alternative
SESS_0115,6.713566335164206,340.5652420309147,0,Onboarding,8,Cognitive,Found alternative
SESS_0116,38.20523178010109,308.8236877679645,0,Paid,8,Pricing,Too expensive
