feature_name,impact_score,effort_score,reach,confidence_score,strategic_alignment
Feature_001,8,3,1313,0.5,Medium
Feature_002,5,5,5797,0.5,High
Feature_003,10,6,6990,0.5,Medium
Feature_004,8,10,3286,0.5,Low
Feature_005,4,4,2351,0.8,High
Feature_006,4,2,2671,0.8,Low
Feature_007,1,4,7643,0.8,Medium
Feature_008,8,9,5714,1.0,Medium
Feature_009,3,7,5102,1.0,High
Feature_010,9,3,7665,1.0,Low
Feature_011,5,3,387,0.8,Medium
Feature_012,10,2,792,1.0,High
Feature_013,3,6,2243,0.8,Low
Feature_014,9,4,2644,0.5,Medium
Feature_015,9,2,2473,0.5,High
Feature_016,6,4,4389,1.0,Low
Feature_017,8,7,2158,0.8,High
Feature_018,3,2,8160,0.8,Medium
Feature_019,3,8,3018,1.0,High
Feature_020,4,10,6345,0.5,Medium
Feature_021,7,4,6102,1.0,High
Feature_022,8,4,2869,1.0,Medium
Feature_023,4,8,9059,1.0,High
Feature_024,4,4,8708,0.8,Medium
Feature_025,5,10,1006,1.0,Low
Feature_026,10,6,8778,0.5,Low
Feature_027,3,10,8291,0.8,Low
Feature_028,3,10,2308,0.5,Medium
Feature_029,1,9,9468,1.0,Low
Feature_030,2,6,8751,1.0,Medium
Feature_031,7,3,4991,0.8,High
Feature_032,4,6,3780,0.8,Low
Feature_033,1,8,7656,0.8,High
Feature_034,1,6,8893,1.0,Medium
Feature_035,8,4,1282,0.8,Low
Feature_036,8,7,4946,0.8,High
Feature_037,2,9,3955,1.0,Low
Feature_038,1,8,2059,0.8,Low
Feature_039,9,1,5325,0.5,Low
Feature_040,9,4,9282,1.0,High
Feature_041,4,4,4545,0.5,Medium
Feature_042,10,5,9490,0.5,Medium
Feature_043,9,4,635,0.5,Low
Feature_044,9,8,4237,0.5,Low
Feature_045,6,10,1641,1.0,Medium
Feature_046,2,6,2185,0.8,Low
Feature_047,6,7,6626,1.0,Low
Feature_048,4,1,401,0.8,Low
Feature_049,10,9,3859,0.8,High
