user_id,retention_d30,login_frequency,habit_score,plan_type,nps_score
USR_0001,1,15,70,Basic,5
USR_0002,0,18,2,Basic,4
USR_0003,1,4,48,Pro,5
USR_0004,0,11,1,Basic,3
USR_0005,1,12,61,Enterprise,2
USR_0006,0,2,49,Pro,2
USR_0007,1,10,81,Basic,1
USR_0008,1,5,20,Basic,1
USR_0009,0,12,8,Enterprise,5
USR_0010,0,16,63,Basic,1
USR_0011,1,16,79,Basic,8
USR_0012,0,12,65,Pro,1
USR_0013,1,8,8,Basic,1
USR_0014,1,11,16,Basic,1
USR_0015,1,7,94,Enterprise,1
USR_0016,1,16,25,Pro,4
USR_0017,1,19,85,Basic,1
USR_0018,1,14,72,Basic,4
USR_0019,0,7,8,Basic,5
USR_0020,0,5,4,Basic,9
USR_0021,0,7,85,Enterprise,6
USR_0022,1,18,12,Basic,10
USR_0023,0,18,85,Basic,9
USR_0024,0,14,98,Basic,2
USR_0025,1,1,74,Pro,4
USR_0026,0,7,99,Basic,2
USR_0027,0,19,94,Basic,4
USR_0028,0,11,66,Basic,4
USR_0029,0,4,49,Basic,7
USR_0030,0,8,34,Basic,3
USR_0031,0,11,45,Basic,2
USR_0032,0,17,42,Basic,1
USR_0033,0,3,39,Pro,10
USR_0034,0,1,16,Pro,10
USR_0035,1,7,14,Enterprise,2
USR_0036,0,12,15,Basic,1
USR_0037,1,11,82,Pro,1
USR_0038,0,1,34,Enterprise,6
USR_0039,0,6,14,Basic,7
USR_0040,0,7,26,Basic,10
USR_0041,1,14,77,Basic,7
USR_0042,1,7,16,Basic,3
USR_0043,0,9,8,Basic,9
USR_0044,0,15,15,Basic,9
USR_0045,1,16,4,Basic,10
USR_0046,1,16,24,Basic,6
USR_0047,1,5,96,Basic,6
USR_0048,0,3,36,Pro,8
USR_0049,0,2,47,Basic,4
USR_0050,0,10,82,Pro,2
USR_0051,0,14,91,Basic,6
USR_0052,0,4,91,Pro,2
USR_0053,1,7,65,Enterprise,2
USR_0054,0,16,41,Basic,6
USR_0055,1,14,1,Pro,1
USR_0056,0,4,25,Basic,8
USR_0057,0,3,9,Basic,6
USR_0058,0,12,8,Basic,5
USR_0059,1,16,57,Pro,3
USR_0060,0,12,61,Pro,8
USR_0061,0,17,59,Basic,1
USR_0062,0,2,22,Basic,1
USR_0063,1,7,33,Basic,8
USR_0064,0,14,18,Pro,6
USR_0065,1,6,14,Basic,6
USR_0066,1,16,56,Basic,1
USR_0067,0,5,27,Basic,5
USR_0068,0,1,26,Basic,2
USR_0069,1,16,71,Pro,3
USR_0070,1,12,81,Basic,9
USR_0071,1,15,40,Basic,8
USR_0072,0,14,57,Basic,3
USR_0073,0,8,71,Basic,7
USR_0074,0,19,13,Basic,10
USR_0075,0,15,99,Basic,3
USR_0076,0,9,90,Basic,1
USR_0077,1,15,98,Basic,9
USR_0078,0,5,98,Pro,9
USR_0079,0,7,28,Basic,6
USR_0080,1,10,44,Basic,1
USR_0081,0,2,61,Enterprise,3
USR_0082,0,14,31,Pro,7
USR_0083,1,1,1,Basic,5
USR_0084,0,5,95,Basic,6
USR_0085,0,15,25,Basic,9
USR_0086,1,8,82,Basic,7
USR_0087,1,7,85,Pro,9
USR_0088,0,8,26,Basic,10
USR_0089,1,18,68,Basic,9
USR_0090,0,9,46,Basic,1
USR_0091,1,5,69,Basic,6
USR_0092,0,18,50,Basic,7
USR_0093,1,16,93,Basic,7
USR_0094,1,2,25,Pro,4
USR_0095,1,12,25,Basic,8
USR_0096,0,7,37,Basic,1
USR_0097,0,1,71,Basic,1
USR_0098,0,6,53,Basic,6
USR_0099,1,4,95,Enterprise,5
USR_0100,1,8,56,Basic,6
USR_0101,1,4,4,Basic,9
USR_0102,0,16,76,Enterprise,5
USR_0103,1,9,89,Basic,9
USR_0104,0,6,56,Pro,8
USR_0105,0,5,76,Basic,6
USR_0106,0,4,14,Basic,3
USR_0107,0,14,84,Basic,4
USR_0108,0,3,19,Basic,5
USR_0109,0,14,33,Enterprise,1
USR_0110,0,12,32,Enterprise,5
USR_0111,1,10,70,Basic,4
USR_0112,0,2,82,Basic,9
USR_0113,1,14,20,Basic,1
USR_0114,0,5,88,Pro,8
USR_0115,0,15,71,Basic,10
USR_0116,1,3,61,Basic,9
USR_0117,1,1,80,Basic,4
USR_0118,1,9,23,Pro,10
USR_0119,1,16,51,Basic,2
USR_0120,0,10,89,Basic,7
USR_0121,0,9,53,Basic,4
USR_0122,0,10,7,Basic,7
USR_0123,0,3,95,Enterprise,3
USR_0124,1,17,7,Pro,2
USR_0125,1,9,48,Basic,3
USR_0126,0,5,62,Enterprise,7
USR_0127,0,11,19,Basic,4
USR_0128,0,9,37,Basic,1
USR_0129,1,2,91,Enterprise,10
USR_0130,1,18,20,Basic,7
USR_0131,1,1,64,Basic,3
USR_0132,0,18,14,Pro,9
USR_0133,0,8,16,Basic,5
USR_0134,0,19,29,Basic,7
USR_0135,0,19,69,Pro,8
USR_0136,0,5,87,Pro,5
USR_0137,0,17,35,Basic,6
USR_0138,1,10,91,Basic,4
USR_0139,1,17,40,Pro,10
USR_0140,1,8,63,Basic,5
USR_0141,1,2,42,Pro,3
USR_0142,0,15,91,Pro,6
USR_0143,0,15,45,Enterprise,2
USR_0144,1,11,90,Basic,4
USR_0145,0,2,32,Basic,4
USR_0146,0,11,79,Basic,2
USR_0147,0,4,90,Enterprise,5
USR_0148,1,1,55,Pro,7
USR_0149,1,6,64,Basic,2
USR_0150,1,15,57,Basic,8
USR_0151,0,1,22,Basic,4
USR_0152,0,3,33,Pro,8
USR_0153,1,2,39,Basic,6
USR_0154,1,18,37,Basic,3
USR_0155,0,9,57,Basic,6
USR_0156,1,5,16,Pro,1
USR_0157,1,8,49,Enterprise,2
USR_0158,0,6,1,Basic,9
USR_0159,1,17,46,Pro,5
USR_0160,0,10,51,Basic,4
USR_0161,0,14,22,Pro,7
USR_0162,1,11,35,Basic,10
USR_0163,1,6,71,Enterprise,7
USR_0164,0,2,47,Basic,5
USR_0165,0,5,21,Basic,9
USR_0166,0,2,35,Pro,8
USR_0167,0,6,17,Pro,8
USR_0168,0,11,20,Basic,7
USR_0169,0,4,86,Basic,7
USR_0170,0,6,65,Basic,3
USR_0171,0,10,88,Pro,6
USR_0172,0,16,96,Basic,5
USR_0173,0,4,83,Basic,5
USR_0174,1,19,93,Basic,9
